,Unnamed: 0,score,score_precision,score_recall,score_f1,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
1,1,0.9992284,0.9864865,0.9861111,0.9861084,75.66383,144.0,0.40239742,3,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.99344134,0.25,0.5,0.33333334,23.212385,144.0,0.14272319,3,session_E,22,2,001-2014,DeepConvNet
3,3,0.9907407,0.25,0.5,0.33333334,45.683582,144.0,0.27775258,3,session_T,22,2,001-2014,DeepConvNet
4,4,0.9972994,0.95357627,0.9513889,0.9513302,41.44558,144.0,0.258412,3,session_E,22,2,001-2014,ShallowConvNet
5,5,0.99093366,0.96153843,0.9583333,0.9582609,132.68636,144.0,0.834644,3,session_T,22,2,001-2014,ShallowConvNet
0,0,0.61766976,0.75352114,0.5138889,0.36347562,23.959604,144.0,0.13507079,4,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.59683645,0.60084033,0.5833333,0.5644283,44.634377,144.0,0.2485039,4,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.7835648,0.25,0.5,0.33333334,24.52189,144.0,0.1526235,4,session_E,22,2,001-2014,DeepConvNet
3,3,0.8134645,0.7407407,0.6805556,0.65925926,51.616642,144.0,0.3096805,4,session_T,22,2,001-2014,DeepConvNet
4,4,0.8782793,0.80100334,0.7777778,0.77340674,43.16879,144.0,0.26889166,4,session_E,22,2,001-2014,ShallowConvNet
5,5,0.8873457,0.81548196,0.8125,0.8120559,129.49129,144.0,0.8157459,4,session_T,22,2,001-2014,ShallowConvNet
0,0,0.4849537,0.5070107,0.5069444,0.5057766,28.068161,144.0,0.15310064,5,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.49729937,0.5,0.5,0.35650447,42.119774,144.0,0.22751217,5,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.6788194,0.25,0.5,0.33333334,20.370905,144.0,0.12401438,5,session_E,22,2,001-2014,DeepConvNet
3,3,0.5439815,0.25,0.5,0.33333334,39.407196,144.0,0.23136769,5,session_T,22,2,001-2014,DeepConvNet
4,4,0.74614197,0.68161875,0.6597222,0.6491472,127.012535,144.0,0.8005978,5,session_E,22,2,001-2014,ShallowConvNet
5,5,0.6116898,0.5694444,0.5694444,0.5694444,159.41193,144.0,0.99925965,5,session_T,22,2,001-2014,ShallowConvNet
0,0,0.7029321,0.6481481,0.6388889,0.63315696,32.750736,144.0,0.27449343,6,session_E,22,2,001-2014,EEGNet_8_2
1,1,0.72472996,0.6481481,0.6458333,0.64444447,55.532963,144.0,0.46601635,6,session_T,22,2,001-2014,EEGNet_8_2
2,2,0.6589506,0.6978022,0.5694444,0.48606953,26.607273,144.0,0.22768524,6,session_E,22,2,001-2014,DeepConvNet
3,3,0.6371528,0.25,0.5,0.33333334,44.971214,144.0,0.3844877,6,session_T,22,2,001-2014,DeepConvNet
4,4,0.7366898,0.7,0.6944444,0.6923077,32.79784,144.0,0.28514254,6,session_E,22,2,001-2014,ShallowConvNet
5,5,0.79070216,0.72921085,0.7291667,0.72915363,61.898754,144.0,0.537808,6,session_T,22,2,001-2014,ShallowConvNet
0,0,0.6018519,0.5919149,0.5833333,0.57337546,24.27304,144.0,0.19066429,7,session_E,22,2,001-2014,EEGNet_8_2
